dcontributor,dsubjecs,dtitle,Year
,合同;旗昌洋行;李鸿章;股份;花红;轮船招商局,盛宣怀上？禀,1880-1884
滕恩,合同;大东电报公司;章程,盛宣怀复滕恩函,1880-1884
盛衡山,厦门厅;大北电报公司;工程;李鸿章;汇兑;电报;电杆;福州府;福建;章程,盛宣怀致盛衡山函,1880-1884
？锦堂,佘昌宇;工程;电杆;硫磺;福建,盛宣怀致？锦堂函,1880-1884
佘昌宇,工程;硫磺;采办,盛宣怀致佘昌宇函,1880-1884
严瀠;唐德熙;陈猷,合同;米;运输,盛宣怀致唐德熙、严瀠、陈猷函（第九号）,1880-1884
唐德熙;陈猷,公司;洋行;轮船;运输,盛宣怀致唐德熙、陈猷函（第二十七号）,1880-1884
[胡光镛],上海;北京;清查;行程;轮船招商局,盛宣怀致[胡光镛]函,1880-1884
唐廷枢,契据;抵押;财务,盛宣怀致唐廷枢函,1880-1884
唐廷枢,保险;医生;房屋;抵押;药,盛宣怀致唐廷枢函,1880-1884
邵友濂,保大轮;行李;轮船,盛宣怀、马建忠致邵友濂函,1880-1884
？春宇,潍县;烟台;米;赈济;运输;高粱,盛宣怀致？春宇函,1885-1889
奕劻,借贷;天津府;张之洞;李鸿章;河北;海署;轮船招商局;铁,盛宣怀致奕劻函,1885-1889
季青,荣城县,盛宣怀致季青函,1885-1889
河？领事,利息;德威尼;总理各国事务衙门;李鸿章;比利时;电报局;矿务;轮船招商局,盛宣怀致河？领事函,1885-1889
商会,合同;江苏;湖北;湖南;经费;轮船招商局,盛宣怀致商会函,1885-1889
福山县令,烟台;赈济,盛宣怀致福山县令函,1885-1889
周冕等,房屋;赈济;轮船;运输,盛宣怀致周冕等函,1885-1889
湖南督粮道吕？,湖南;经费,盛宣怀致湖南督粮道吕？函,1885-1889
孙毓汶,商人;粮食;赈济;轮船;轮船招商局,盛宣怀致孙毓汶函,1885-1889
？远辰,南昌府;工程;广东;江苏;江西;河南;轮船招商,盛宣怀致？远辰函,1885-1889
李鹤林,烟台;经费;英国,盛宣怀致李鹤林函,1885-1889
？锡五,东海关;日照县;海关;税务,盛宣怀致？锡五函,1885-1889
张振棨,吴季常;周子庄;户部;王立庵;黄建笎,盛宣怀致张振棨函,1885-1889
？竹君,兵部;工程;工部;广东;广西;户部,盛宣怀致？竹君函,1885-1889
阎敬铭,公司;合同;周馥;商人;天津府;学堂;李鸿章;经费;轮船招商局;马建忠,盛宣怀致阎敬铭函,1885-1889
？子厚,严潆;图书;张世祁;徐润;杨廷皋;电报局;社交;米;经世文编;股票;轮船招商局;郑子惠;雨记,盛宣怀致？子厚函（1）,1885-1889
？子厚,保险;徐润;恽莘云;电报;股票;轮船招商局;银行;雨记,盛宣怀致？子厚函（2）,1885-1889
？子厚,严潆;借贷;恽莘云;湖南;漕运;轮船招商局;雨记,盛宣怀致？子厚函（3）,1885-1889
？子厚,萧静山;解款;财务;轮船招商局;雨记,盛宣怀致？子厚函（5）,1885-1889
？子厚,利息;股票;轮船招商局;雨记,盛宣怀致？子厚函（6）,1885-1889
？子厚,严潆;保险;借贷;山东;怡和洋行;恽松云;汇丰银行;法兰西银行;洋行;财务;赈济;轮船招商局;雨记,盛宣怀致？子厚函（7）,1885-1889
雨记,严潆;山东;赈济;钱庄;雨记,盛宣怀致雨记函（8）,1885-1889
雨记,法国;股票;赈济;轮船招商局;银行;雨记,盛宣怀致雨记函（9）,1885-1889
雨记,汇丰银行;潘振声;轮船招商局;雨记;马建忠,盛宣怀致雨记函（10）,1885-1889
雨记,天津机器局;雨记;马建忠;黄建笎,盛宣怀致雨记函（11）,1885-1889
雨记,利息;怡和洋行;洋行;萧静山;轮船招商局;雨记;马建忠,盛宣怀致雨记函（12）,1885-1889
雨记,信义洋行;借贷;洋行;轮船招商局,盛宣怀致雨记函（13）,1885-1889
雨记,借贷;怡和洋行;汇丰银行;洋行;萧静山;轮船招商局,盛宣怀致雨记函（14）,1885-1889
雨记,汇兑;雨记,盛宣怀致雨记函（15）,1885-1889
雨记,借贷;怡和洋行;洋行;股票;雨记,盛宣怀致雨记函（16）,1885-1889
雨记,利息;电报;股票,盛宣怀致雨记函（17）,1885-1889
雨记,汇兑;苏州公帐房;郑子惠;雨记,盛宣怀致雨记函（18）,1885-1889
雨记,山东;汇丰银行;汇兑;湖南;萧静山;赈济,盛宣怀致雨记函（19）,1885-1889
雨记,借贷;利息;吴广庵;山东;怡和洋行;汪玉峯;河工;洋行,盛宣怀致雨记函（25）,1885-1889
雨记,借贷;河工;萧镇坤;龚仰翁,盛宣怀致雨记函（26）,1885-1889
唐廉,广东;捐输;杨廷皋;轮船招商局;运费,盛宣怀致唐廉函,1885-1889
唐廉,机器;财务;轮船招商局;铸币,盛宣怀致唐廉函,1885-1889
[？树斋],公务;杨廷皋;盛宙怀;龚照瑗,盛宣怀致[？树斋]函,1885-1889
朱静山,仁济和保险公司;保险;借贷;利息;周馥;唐廷枢;开平煤矿;汇丰银行;法兰西银行;股票;轮船招商局;麦加利银行,盛宣怀致朱静山函（1）,1885-1889
朱静山,仁济和保险公司;保险;扬子公司;股票;财务;轮船招商局;陈猷,盛宣怀致朱静山函（2）,1885-1889
朱静山,仁济和保险公司;保险;薪俸;轮船招商局,盛宣怀致朱静山函,1885-1889
朱静山,军需;煤;财务;轮船招商局;运费,盛宣怀致朱静山函（3）,1885-1889
朱静山,仁济和保险公司;保险;利息;开平煤矿;轮船招商局;黄建笎,盛宣怀致朱静山函（4）,1885-1889
朱静山,利息;图书;开平煤矿;支应局;杨廷皋;煤;财务;轮船招商局,盛宣怀致朱静山函（5）,1885-1889
徐润,开平煤矿;股票;轮船招商局,盛宣怀致徐润函,1885-1889
朱静山,仁济和保险公司;保险;利息;财务;轮船招商局,盛宣怀致朱静山函（5）,1885-1889
朱静山,仁济和保险公司;保大轮;保险;财务;轮船招商局,盛宣怀致朱静山函（6）,1885-1889
朱静山,仁济和保险公司;开平煤矿;支应局;李鸿章;财务;轮船招商局,盛宣怀致朱静山函（7）,1885-1889
朱静山,严潆;仁济和保险公司;利息;支应局;股票;财务;轮船招商局,盛宣怀致朱静山函（8）,1885-1889
朱静山,严潆;仁济和保险公司;价格;开平煤矿;股票;轮船招商局,盛宣怀致朱静山函（9）,1885-1889
朱静山,严潆;仁济和保险公司;开平煤矿;汇丰银行;法兰西银行;股票;财务;轮船招商局,盛宣怀致朱静山函（10）,1885-1889
朱静山,仁济和保险公司;利息;怡和洋行;财务;轮船招商局;黄建笎,盛宣怀致朱静山函（11）,1885-1889
朱静山,叶成忠;开平煤矿;押款;汇丰银行;财务;轮船招商局;马建忠,盛宣怀致朱静山函（13）,1885-1889
朱静山,东海关;严潆;仁济和保险公司;利息;唐德熙;股票;财务;运费;马建忠,盛宣怀致朱静山函（1）,1885-1889
朱静山,上海电报局;严潆;仁济和保险公司;唐德熙;太古洋行;怡和洋行;捐输;经元善;股票;赈济;轮船招商局;银行;阿加剌银行,盛宣怀致朱静山函（2）,1885-1889
朱静山,叶成忠;徐雨记;怡;怡和洋行;押款;旗昌洋行;法兰西银行;税务;财务,盛宣怀致朱静山函（3）,1885-1889
朱静山,仁济和保险公司;利息;广东;徐润;押款;股票;轮船招商局;马建忠,盛宣怀致朱静山函（4）,1885-1889
朱静山,仁济和保险公司;保险;财务;轮船招商局,盛宣怀致朱静山函（5）,1885-1889
杨廷皋,吉林;汇兑;珲春厅;财务,盛宣怀致杨廷皋函（47）,1885-1889
杨廷皋,社交,盛宣怀致杨廷皋函,1885-1889
杨廷皋,信义洋行;吴庆鳌;图书;山东;山东机器局;德州府;李德;电报局;盛宙怀;黄建笎;龚仰翁,盛宣怀致杨廷皋函（46）,1885-1889
杨廷皋,借贷;图书;天津石印书局;徐子静;马建忠;龚仰翁,盛宣怀致杨廷皋函（45）,1885-1889
杨廷皋,叶山苞;山东机器局;张廉泉;彭三省;捐输;滋大洋行;电报;苏宝生;萧静山;财务;轮船招商局;运费,盛宣怀致杨廷皋函（44）,1885-1889
杨廷皋,借贷;利息;盛宙怀;股票;财务,盛宣怀致杨廷皋函（34）,1885-1889
杨廷皋,周冕;山东机器局;张寿朋;机器;萧镇坤;财务;高尔亭,盛宣怀致杨廷皋函（35）,1885-1889
杨廷皋,利息;工程;怡和洋行;金融,盛宣怀致杨廷皋函（36）,1885-1889
杨廷皋,吴金鳌;广东;滋大洋行;物料;电报局;盛宙怀,盛宣怀致杨廷皋函,1885-1889
杨廷皋,借贷;电报;财务;雨记;黄子元,盛宣怀致杨廷皋函（38）,1885-1889
杨廷皋,严潆;汕头电报局;萧镇坤;轮船招商局,盛宣怀致杨廷皋函（39）,1885-1889
杨廷皋,源丰润;电报局;盛星杉;经费;萧镇坤;财务;黄建笎,盛宣怀致杨廷皋函（40）,1885-1889
杨廷皋,山东;捐输;财务,盛宣怀致杨廷皋函（41）,1885-1889
杨廷皋,利息;吴广庵;山东;济隆典;萧镇坤;财务,盛宣怀致杨廷皋函（42）,1885-1889
杨廷皋,价格;信义洋行;借贷;李德;萧镇坤;钱庄;铜,盛宣怀致杨廷皋函（43）,1885-1889
杨廷皋,彭省三;捐输;盛宙怀;缫丝局;股票;萧镇坤;财务,盛宣怀致杨廷皋函（33）,1885-1889
杨廷皋,吉林电报局;山东;朱叔梧;赈济,盛宣怀致杨廷皋函（31）,1885-1889
杨廷皋,价格;厦门电报局;叶亮卿;图书;赈济;轮船招商局,盛宣怀致杨廷皋函（32）,1885-1889
杨廷皋,借贷;利息;山东;李仲平;电报局;股票,盛宣怀致杨廷皋函（30）,1885-1889
杨廷皋,电报局;股票;财务;轮船招商局,盛宣怀致杨廷皋函（29）,1885-1889
杨廷皋,股票;轮船招商局,盛宣怀致杨廷皋函（28）,1885-1889
杨廷皋,山东机器局;机器;物料,盛宣怀致杨廷皋函（27）,1885-1889
杨廷皋,山东;山东机器公司;抚恤;珲春厅;电报局;经费;股票;金融,盛宣怀致杨廷皋函（26）,1885-1889
杨廷皋,山东;山东机器局;汇兑;潘振声;赈济;陈振雨,盛宣怀致杨廷皋函（25）,1885-1889
杨廷皋,修建;博怡生;外籍工师;电报;经费,盛宣怀致杨廷皋函（24）,1885-1889
杨廷皋,价格;信义洋行;图书;轮船招商局,盛宣怀致杨廷皋函（23）,1885-1889
杨廷皋,义昌洋行;信义洋行;山东机器局;怡和洋行;机器;轮船招商局;运输,盛宣怀致杨廷皋函（22）,1885-1889
杨廷皋,修建;借贷;利息;怡和洋行;盛宙怀;经费;赈济,盛宣怀致杨廷皋函（21）,1885-1889
杨廷皋,山东;捐赈;郑幼戟;青州府,盛宣怀致杨廷皋函（20）,1885-1889
杨廷皋,价格;图书;社交,盛宣怀致杨廷皋函（19）,1885-1889
杨廷皋,借贷;怡和洋行;瑞生洋行;电报;薪俸,盛宣怀致杨廷皋函（2）,1885-1889
杨廷皋,价格;信义洋行;汇兑;物料;电报局,盛宣怀致杨廷皋函（3）,1885-1889
杨廷皋,价格;借贷;博拓生;吉林;外籍工师;珲春厅;电报局;管理;经费;袁长坤;财务;赵士庭,盛宣怀致杨廷皋函（4）,1885-1889
杨廷皋,价格;图书,盛宣怀致杨廷皋函（5）,1885-1889
杨廷皋,价格;吴广庵;图书;社交;萧镇坤,盛宣怀致杨廷皋函（6）,1885-1889
杨廷皋,保险;修建;博拓生;叶小苞;外籍工师;电报;电报局;经元善;股票;薪俸,盛宣怀致杨廷皋函（7）,1885-1889
杨廷皋,大北电报局;海防;电报;轮船招商局,盛宣怀致杨廷皋函（8）,1885-1889
杨廷皋,价格;图书;电报局;社交,盛宣怀致杨廷皋函（9）,1885-1889
杨廷皋,价格;吴金鳌;怡和洋行;朱鸿卿;法格圣;滋大洋行;电报;盛宙怀,盛宣怀致杨廷皋函（10）,1885-1889
杨廷皋,利息;博怡生;广东;怡和洋行;木材物价;电报局;盛宙怀;财务;雨记,盛宣怀致杨廷皋函（11）,1885-1889
杨廷皋,价格;信义洋行;叶成忠;山东机器局;怡和洋行;机器;李德;满德,盛宣怀致杨廷皋函（12）,1885-1889
杨廷皋,吉林机器局;电报局;财务,盛宣怀致杨廷皋函（14）,1885-1889
杨廷皋,图书;怡和洋行;扬州电报局;物价;社交;财务,盛宣怀致杨廷皋函（13）,1885-1889
杨廷皋,社交;财务,盛宣怀致杨廷皋函（17）,1885-1889
杨廷皋;盛宙怀,开平煤矿;成都电报局;机器;运输,盛宣怀致杨廷皋、盛宙怀函（18）,1885-1889
沈能虎;马建忠,徐润;管理;解任;轮船招商局,盛宣怀致马建忠、沈能虎函（18）,1885-1889
沈能虎等;马建忠,天津招商局;太古洋行;轮船招商局;黄建笎,盛宣怀致马建忠、沈能虎等函（10）,1885-1889
朱静山;沈能虎;马建忠,仁济和保险公司;保险;唐廷枢;开平煤矿;煤;轮船招商局;黄建笎,盛宣怀致马建忠、沈能虎、朱静山函（6）,1885-1889
沈能虎;马建忠,广东;张之洞;轮船招商局,盛宣怀致马建忠、沈能虎函（5）,1885-1889
沈能虎;陈树棠;马建忠,借贷;利息;朝鲜;蔚霞;轮船招商局;运费,盛宣怀致马建忠、沈能虎、陈树棠函（2）,1885-1889
杨廷皋,借贷;天津招商局;广东;怡和洋行;瑞生洋行;轮船招商局;运费,盛宣怀致杨廷皋函（1）,1885-1889
杨廷皋,信义洋行;借贷;叶山苞;吴金鳌;外籍工师;山东机器局;机器;李济;汇兑;电报局;盛宙怀;萧静坤;轮船招商局;陈猷;高尔亭,盛宣怀致杨廷皋函（48）,1885-1889
杨廷皋,叶山苞;电报局;萧镇坤;财务;高尔亭;黄建笎,盛宣怀致杨廷皋函（49）,1885-1889
杨廷皋,价格;图书;安庆电报局;彭省三;电报局;社交;萧镇坤,盛宣怀致杨廷皋函（51）,1885-1889
杨廷皋,图书;安庆电报局;彭省三;收支所;芜湖电报局,盛宣怀致杨廷皋函（50）,1885-1889
沈能虎;马建忠,利息;天津铁路公司;抵押;旗昌洋行;汇丰银行;汇兑;洋行;税务;财务;轮船招商局,盛宣怀致马建忠、沈能虎函（21）,1885-1889
沈能虎;马建忠,宜昌招商局;房地产;游桂馨;轮船招商局;马建忠,盛宣怀致马建忠、沈能虎函（2）,1885-1889
沈能虎;马建忠,人事;徐润;财务;轮船招商局,盛宣怀致马建忠、沈能虎函（3）,1885-1889
沈能虎;马建忠,仁济和保险公司;仓储;保险;唐德熙;天津招商局;太古洋行;李鸿章;洋行;财务;轮船招商局;运输,盛宣怀致马建忠、沈能虎函（4）,1885-1889
沈能虎;马建忠,海关;租借;赫德;轮船招商局;金利源码头,盛宣怀致马建忠、沈能虎函（14）,1885-1889
沈能虎;马建忠,价格;借贷;利润;唐廷枢;天津招商局;太古洋行;山东;怡和洋行;洋行;赈济;运费,盛宣怀致马建忠、沈能虎函（10）,1885-1889
沈能虎;马建忠,上海织布局;怡和洋行;旗昌洋行;曾国荃;洋行;蔚霞;轮船招商局;运费,盛宣怀致马建忠、沈能虎函（1）,1885-1889
沈能虎;马建忠,保险;孙多璋;烟台招商局;赔补,盛宣怀致马建忠、沈能虎函（9）,1885-1889
朱格仁;沈能虎;马建忠,仁济和保险公司;唐廷枢;太古洋行;怡和洋行;洋行;轮船招商局;运费;黄建笎,盛宣怀致马建忠、沈能虎、朱格仁函,1885-1889
沈能虎;马建忠,姚彦嘉;张之洞;房地产;汕头招商局;轮船招商局,盛宣怀致马建忠、沈能虎函（11）,1885-1889
沈能虎;马建忠,中外关系;朝鲜;袁世凯;轮船招商局,盛宣怀致马建忠、沈能虎函（13）,1885-1889
沈能虎;马建忠,姚彦嘉;廖紫珊;张之洞;游桂馨;轮船招商局,盛宣怀致马建忠、沈能虎函（7）,1885-1889
沈能虎;马建忠,同文书局;姚彦嘉;房地产;抵押;汕头招商局;漕运;经费;赈济;轮船招商局,盛宣怀致马建忠、沈能虎函（32）,1885-1889
沈能虎;马建忠,严潆;天津招商局;朱伯华;李鸿章;财务;轮船招商局;黄建笎,盛宣怀致马建忠、沈能虎函（31）,1885-1889
沈能虎;马建忠,广东;张禄如;烟台招商局;股票;轮船招商局;陈敬亭,盛宣怀致马建忠、沈能虎函（30）,1885-1889
沈能虎;马建忠,吴广庵;花红;轮船招商局,盛宣怀致马建忠、沈能虎函（29）,1885-1889
沈能虎;马建忠,广东;廖紫珊;张之洞;税务;财务;轮船招商局,盛宣怀致马建忠、沈能虎函（28）,1885-1889
沈能虎;陈树棠;马建忠,厦门招商局;叶大庸;旗昌洋行;洋行;轮船招商局;运输,盛宣怀致马建忠、沈能虎、陈树棠函,1885-1889
沈能虎;陈树棠;马建忠,吴广庵;抚恤;财务;轮船招商局;马建忠,盛宣怀致马建忠、沈能虎、陈树棠函,1885-1889
吴广庵,人事;抚恤;薪俸;轮船招商局;马建忠,盛宣怀复吴广庵函,1885-1889
沈能虎;陈树棠;马建忠,借贷;利息;财务;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函（24）,1885-1889
沈能虎;陈树棠;马建忠,社交;轮船招商局;运费;运输,盛宣怀致马建忠、沈能虎、陈树棠函,1885-1889
沈能虎;陈树棠;马建忠,严潆;仁济和保险公司;价格;借贷;唐廷枢;开平煤矿;煤;财务;运输;黄建笎,盛宣怀致马建忠、沈能虎、陈树棠函,1885-1889
沈能虎;陈树棠;马建忠,仁济和保险公司;保险;唐德熙;怡和洋行;洋行;漕运;福州电报局;轮船招商局;运费;金利源码头;黄建笎,盛宣怀致马建忠、沈能虎、陈树棠函（19）,1885-1889
沈能虎;陈树棠;马建忠,借贷;利息;怡和洋行;旗昌洋行;汇丰银行;洋行;管理;财务;轮船招商局;运输,盛宣怀致马建忠、沈能虎、陈树棠函,1885-1889
沈能虎;陈树棠;马建忠,人事;张寿恺;恽祖翼;恽莘云;管理;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函（18）,1885-1889
沈能虎;陈树棠;马建忠,中外关系;借贷;朝鲜;袁世凯,盛宣怀致马建忠、沈能虎、陈树棠函（17）,1885-1889
沈能虎;陈树棠;马建忠,人事;姚彦嘉;开平煤矿;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函（16）,1885-1889
沈能虎;陈树棠,轮船招商局;运费;马建忠,盛宣怀致沈能虎、陈树棠函（15）,1885-1889
沈能虎;陈树棠;马建忠,丁日昌;保险;军需;李鸿章;耶松船厂;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函（14）,1885-1889
沈能虎;陈树棠;马建忠,上海;保险;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函（12）,1885-1889
沈能虎;陈树棠;马建忠,保险;租借;财务;轮船招商局;黄建笎,盛宣怀致马建忠、沈能虎、陈树棠函（13）,1885-1889
沈能虎;陈树棠;马建忠,保险;军需;李鸿章;船只;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函,1885-1889
沈能虎;陈树棠;马建忠,中外关系;借贷;朝鲜;李鸿章;电报局;福建;股票;赔补;轮船招商局;运费,盛宣怀致马建忠、沈能虎、陈树棠函（9）,1885-1889
沈能虎;陈树棠;马建忠,李鸿章;轮船招商局,盛宣怀致马建忠、沈能虎、陈树棠函（6）,1885-1889
沈能虎;陈树棠;马建忠,仁济和保险公司;借贷;利息;房地产;漕运;财务;轮船招商局;运费;黄建笎,盛宣怀致马建忠、沈能虎、陈树棠函（5）,1885-1889
沈能虎;马建忠,严潆;中外关系;利息;朝鲜;李鸿章;轮船招商局;运费,盛宣怀致马建忠、沈能虎函（4）,1885-1889
